epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,678.85,0.93948,0.43046,0.00923,0.98591,0.44969,0.46214,0.35143,1.1986,0.64161,0.01284,0.000148625,0.000148625,0.000148625
91,687.141,0.98559,0.4255,0.01203,0.98891,0.44469,0.46116,0.33935,1.26333,0.657,0.01492,0.00013625,0.00013625,0.00013625
92,694.208,0.99698,0.39935,0.01226,0.99246,0.44715,0.46246,0.35021,1.19318,0.64862,0.01244,0.000123875,0.000123875,0.000123875
93,701.071,0.96758,0.40566,0.01135,0.97966,0.44936,0.46362,0.34308,1.21462,0.66092,0.01288,0.0001115,0.0001115,0.0001115
94,708.339,0.97475,0.40204,0.01132,0.98739,0.44334,0.46208,0.3435,1.21436,0.66511,0.01284,9.9125e-05,9.9125e-05,9.9125e-05
95,715.659,0.96627,0.39273,0.01053,0.98633,0.44969,0.46377,0.34966,1.19102,0.64358,0.01228,8.675e-05,8.675e-05,8.675e-05
96,723.049,0.95441,0.39502,0.01104,0.98798,0.43717,0.46136,0.35487,1.19495,0.64786,0.01255,7.4375e-05,7.4375e-05,7.4375e-05
97,730.214,0.96285,0.40202,0.01093,0.97886,0.44758,0.46121,0.3527,1.19576,0.6489,0.0125,6.2e-05,6.2e-05,6.2e-05
98,737.705,0.93938,0.38265,0.01103,0.98426,0.44907,0.46384,0.35079,1.19871,0.64864,0.01265,4.9625e-05,4.9625e-05,4.9625e-05
99,745.173,0.9694,0.39256,0.01111,0.98265,0.44969,0.46467,0.35214,1.19661,0.64814,0.01257,3.725e-05,3.725e-05,3.725e-05
100,753.386,0.93519,0.3971,0.01085,0.97936,0.44996,0.46453,0.35163,1.20377,0.65145,0.01275,2.4875e-05,2.4875e-05,2.4875e-05
